"Pond","Year","Osf","Osh","Ops","Pro","ES","EP","Bsh","Bsf","Pfp","Cpt","NH4","PO4","N_P"
"GH","2010",0.177515692969048,1.18688385990084,0.563230523084366,2.34523546523704,0.469696793641275,0.528549947144029,1.21205242634651,2.65153702232385,0.55396250603747,2.26183866498004,6.40710859753493,0.979326085561593,10.5429576058894
"GH","2011",0.191321991848821,1.25404667869841,0.568116034874523,2.24006354797958,0.471101471388715,0.507331510793243,1.27672166550216,2.54155116703782,0.589428516617346,2.30605391445504,5.03805263807253,1.03938068400855,7.70978846659884
"GH","2012",0.206545308300258,1.32844461771187,0.580518250733658,2.21511392086752,0.481564358822639,0.521265823557403,1.2423214888445,2.86285401551379,0.59907020908263,2.48204944549086,4.42379081003769,1.09049784566411,6.23190142892722
"GH","2013",0.212673611513216,1.31480074084991,0.583098929501086,2.35171050297567,0.498646045656039,0.47807993137502,1.20814953338325,2.56584501479442,0.643609410733012,2.65948592277863,3.00845162364144,1.27535887744544,2.95016763209311
"GH","2014",0.207058261836581,1.43268567721463,0.578661271630209,1.93215908324827,0.502020114199169,0.495321688565842,1.29356892900478,3.06423476675106,0.652449179638927,2.45482331907325,2.61064771901648,1.14169589833497,2.52464544253839
"GH","2015",0.364573788696284,2.17928865661911,0.477597360935126,1.99740962303378,0.390051187070585,0.624283602347529,2.03700755857497,2.30810519823583,0.219198918959028,2.82312283157078,8.40748042455619,1.04901745814897,8.19036291162929
"NP","2010",0.190218243553977,1.25778443986631,0.564721598394235,2.19458479046871,0.471942584086029,0.511583016966089,1.27007451974383,2.77061040787991,0.585255459508224,2.58445802820835,4.42661155738579,1.07928737182862,6.31355353270263
"NP","2011",0.191738655813774,1.27956748562345,0.56480717098038,2.11203607751736,0.466797457375952,0.506825498934448,1.36020437954792,2.88341787162024,0.586449312172979,2.55608430850234,4.25120637667317,1.07162907120166,6.17680066567558
"NP","2012",0.194308076730115,1.253586722717,0.54658584889499,2.07981596449495,0.447121770148447,0.536400050413821,1.39110518979903,2.87524795820519,0.548339780823274,2.40331977093964,5.08265334614955,0.939102644484898,8.24485687532622
"NP","2013",0.209981344903576,1.3391494711057,0.571745287040393,2.06869632313738,0.493193622078415,0.506602973216767,1.27315670234258,3.13945389633668,0.625799015758381,2.56295132141388,3.26596775024412,1.15425209549647,3.8453388212459
"NP","2014",0.209426821628599,1.39031694273277,0.570548916839068,1.8969374352716,0.493777570601231,0.51652987492141,1.27087394255168,3.20432524122788,0.625393932217347,2.66309504965853,3.19548174919537,1.08841243830367,3.94793551682336
"NP","2015",0.206440133798554,1.35114078148028,0.557537979203574,1.76765458559954,0.478879353139986,0.543654504815105,1.29599966093097,3.49271504756779,0.587357017152916,2.86458107173123,3.77404807434013,0.970875516109367,5.63742601657702
"PJ","2010",0.192531924358469,1.19786241607864,0.562730722379248,2.46588354819653,0.46955959642824,0.519263286331999,1.18771033480057,2.64505652006293,0.567139931559025,2.29571996377007,5.22764630734596,1.0799921717648,8.09395840946391
"PJ","2011",0.221097734594903,1.3015281201697,0.581998800733579,2.29861178132752,0.480650924465518,0.498996174559315,1.30067568342482,2.53966529250324,0.581041543364541,2.48440686467325,4.2338223392796,1.17303721505042,5.97158409830535
"PJ","2012",0.190623816599753,1.19708979709776,0.560333222929727,2.55876990890607,0.461284402454518,0.533981432889835,1.24712214721657,2.44070457247921,0.547382107467065,2.27167538746077,6.09078004437019,1.05559306838871,9.7179679941731
"PJ","2013",0.210109656139335,1.3486198401762,0.572050855510193,2.07063394470622,0.485589061260983,0.50596751134797,1.28756432461307,2.83640253070544,0.609827526004346,2.38795876946341,3.63047728792755,1.10042427680851,4.88123174881336
